File URL,File Name
ftp://extlegal@ftp.perupetro.com.pe/LOTE 1 AB/L 1AB-1.pdf,pe_1-AB_dd19860323_EXPLOTACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 100/L 100-1.pdf,pe_100_dd20040326_EXPLORACION-LICENCIA_Consultora
ftp://extlegal@ftp.perupetro.com.pe/LOTE 102/L 102-1.pdf,pe_102_dd20051213_EXPLORACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 103/L 103-1.pdf,pe_103_dd20040809_EXPLORACION-LICENCIA_Repsol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 105/L 105-1.pdf,pe_105_dd20051213_EXPLORACION-LICENCIA_Siboil
ftp://extlegal@ftp.perupetro.com.pe/LOTE 105/L 105-1.pdf,pe_105_dd20051213_EXPLORACION-LICENCIA_Siboil
ftp://extlegal@ftp.perupetro.com.pe/LOTE 107/L 107-1.pdf,pe_107_dd20050901_EXPLORACION-LICENCIA_Petrolifera
ftp://extlegal@ftp.perupetro.com.pe/LOTE 108/L 108-1.pdf,pe_108_dd20051213_EXPLORACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 114/L 114-1.pdf,pe_114_dd20060714_EXPLORACION-LICENCIA_Cepsa
ftp://extlegal@ftp.perupetro.com.pe/LOTE 116/L 116-1.pdf,pe_116_dd20061212_EXPLORACION-LICENCIA_Stratus
ftp://extlegal@ftp.perupetro.com.pe/LOTE 123/L 123-1.pdf,pe_123_dd20060929_EXPLORACION-LICENCIA_Gran-Teirra
ftp://extlegal@ftp.perupetro.com.pe/LOTE 126/L 126-1.pdf,pe_126_dd20071023_EXPLORACION-LICENCIA_Petrominerales
ftp://extlegal@ftp.perupetro.com.pe/LOTE 129/L 129-1.pdf,pe_129_dd20070524_EXPLORACION-LICENCIA_Gran-Teirra
ftp://extlegal@ftp.perupetro.com.pe/LOTE 130/L 130-1.pdf,pe_130_dd20090416_EXPLORACION-LICENCIA_Cepsa
ftp://extlegal@ftp.perupetro.com.pe/LOTE 131/L 131-1.pdf,pe_131_dd20071121_EXPLORACION-LICENCIA_Cepsa
ftp://extlegal@ftp.perupetro.com.pe/LOTE 133/L 133-1.pdf,pe_133_dd20090416_EXPLORACION-LICENCIA_Petrolifera
ftp://extlegal@ftp.perupetro.com.pe/LOTE 135/L 135-1.pdf,pe_135_dd20071121_EXPLORACION-LICENCIA_Stratus
ftp://extlegal@ftp.perupetro.com.pe/LOTE 137/L 137-1.pdf,pe_137_dd20071121_EXPLORACION-LICENCIA_Stratus
ftp://extlegal@ftp.perupetro.com.pe/LOTE 138/L 138-1.pdf,pe_138_dd20071111_EXPLORACION-LICENCIA_Stratus
ftp://extlegal@ftp.perupetro.com.pe/LOTE 144/L 144-1.pdf,pe_144_dd20090416_EXPLORACION-LICENCIA_Sucursal
ftp://extlegal@ftp.perupetro.com.pe/LOTE 145/L 145-1.pdf,pe_145_dd20090416_EXPLORACION-LICENCIA_Andean
ftp://extlegal@ftp.perupetro.com.pe/LOTE 156/L 156-1.pdf,pe_156_dd20090416_EXPLORACION-LICENCIA_Suramericano
ftp://extlegal@ftp.perupetro.com.pe/LOTE 161/L 161-1.pdf,pe_161_dd20090416_EXPLORACION-LICENCIA_Pan-Andean
ftp://extlegal@ftp.perupetro.com.pe/LOTE 174/L 174-1.pdf,pe_174_dd20110923_EXPLORACION-LICENCIA_Tecpetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 183/183.pdf,pe_183_dd20110928_EXPLORACION-LICENCIA_Hydrocarbon-Exploration
ftp://extlegal@ftp.perupetro.com.pe/LOTE 31 B-D/L 31 BD-1.pdf,pe_31-B_dd19940330_EXPLOTACION-LICENCIA_Maple-Gas
ftp://extlegal@ftp.perupetro.com.pe/LOTE 31 C/L 31C-1.pdf,pe_31-C_dd19940330_EXPLOTACION-LICENCIA_Aguaytia
ftp://extlegal@ftp.perupetro.com.pe/LOTE 31 B-D/L 31 BD-1.pdf,pe_31-D_dd19940330_EXPLOTACION-LICENCIA_Maple-Gas
ftp://extlegal@ftp.perupetro.com.pe/LOTE 31 E/L 31 E-1.pdf,pe_31-E_dd20010306_EXPLOTACION-LICENCIA_Maple-Gas
ftp://extlegal@ftp.perupetro.com.pe/LOTE 39/L 39-1.pdf,pe_39_dd19990909_EXPLORACION-LICENCIA_Repsol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 56/L 56-1.pdf,pe_56_dd20040907_EXPLOTACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 57/L 57-1.pdf,pe_57_dd20040127_EXPLOTACION-LICENCIA_Repsol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 58/L 58-1.pdf,pe_58_dd20050712_EXPLORACION-LICENCIA_Petrobras
ftp://extlegal@ftp.perupetro.com.pe/LOTE 64/L 64-1.pdf,pe_64_dd19951207_EXPLOTACION-LICENCIA_Petroleos
ftp://extlegal@ftp.perupetro.com.pe/LOTE 67/L 67-1.pdf,pe_67_dd19951213_EXPLOTACION-LICENCIA_Perenco
ftp://extlegal@ftp.perupetro.com.pe/LOTE 67/L 67-1.pdf,pe_67_dd19951213_EXPLOTACION-LICENCIA_Perenco
ftp://extlegal@ftp.perupetro.com.pe/LOTE 76/L 76-1.pdf,pe_76_dd20060502_EXPLORACION-LICENCIA_Hunt-Oil
ftp://extlegal@ftp.perupetro.com.pe/LOTE 8/L 8-1.pdf,pe_8_dd19940520_EXPLOTACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 8/L 8-1.pdf,pe_8_dd19940520_EXPLOTACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 8/L 8-1.pdf,pe_8_dd19940520_EXPLOTACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 8/L 8-1.pdf,pe_8_dd19940520_EXPLOTACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 8/L 8-1.pdf,pe_8_dd19940520_EXPLOTACION-LICENCIA_Pluspetrol
ftp://extlegal@ftp.perupetro.com.pe/LOTE 88/L 88-1.pdf,pe_88_dd20001209_EXPLOTACION-LICENCIA_Pluspetrol
